Chidamber-Kemerer metrics,Wed, 13 May 2020 14:56:17 CEST
Class,CBO,DIT,LCOM,NOC,RFC,WMC
"net.sf.jabref.gui.actions.ErrorConsoleAction",4,0,1,0,10,6
"net.sf.jabref.gui.actions.IntegrityCheckAction",8,1,1,0,19,7
"net.sf.jabref.gui.actions.ManageKeywordsAction",26,1,1,0,47,46
"net.sf.jabref.gui.actions.MassSetFieldAction",13,1,1,0,37,30
"net.sf.jabref.gui.actions.MnemonicAwareAction",35,0,1,34,4,6
"net.sf.jabref.gui.actions.NewDatabaseAction",8,1,1,0,13,2
"net.sf.jabref.gui.actions.NewEntryAction",11,1,1,0,21,7
"net.sf.jabref.gui.actions.NewSubDatabaseAction",12,1,1,0,18,3
"net.sf.jabref.gui.actions.OpenBrowserAction",2,0,1,0,4,3
"net.sf.jabref.gui.actions.OpenSharedDatabaseAction",4,1,1,0,7,2
"net.sf.jabref.gui.actions.PasteAction",8,0,1,0,7,4
"net.sf.jabref.gui.actions.SearchForUpdateAction",3,0,1,0,4,2
"net.sf.jabref.gui.actions.SortTabsAction",4,1,2,0,9,5
"net.sf.jabref.gui.autocompleter.AutoCompleteListener",7,0,1,0,20,53
"net.sf.jabref.gui.autocompleter.AutoCompleteRenderer",3,0,4,1,6,1
"net.sf.jabref.gui.autocompleter.AutoCompleteSupport",6,0,2,0,16,20
"net.sf.jabref.gui.autocompleter.AutoCompleteSupport.ComboBoxEditorFocusHandler",1,0,2,0,3,3
"net.sf.jabref.gui.autocompleter.AutoCompleteSupport.MoveAction",2,0,1,0,3,3
"net.sf.jabref.gui.autocompleter.ListAutoCompleteRenderer",2,1,1,0,5,8
"net.sf.jabref.gui.auximport.FromAuxDialog",12,0,1,0,31,12
"net.sf.jabref.gui.bibtexkeypattern.BibtexKeyPatternPanel",17,0,1,1,27,17
"net.sf.jabref.gui.bibtexkeypattern.ResolveDuplicateLabelDialog",8,0,3,0,18,7
"net.sf.jabref.gui.bibtexkeypattern.SearchFixDuplicateLabels",13,1,1,0,24,14
"net.sf.jabref.gui.cleanup.CleanupActionsListModel",3,0,1,0,10,14
"net.sf.jabref.gui.cleanup.CleanupPresetPanel",10,0,1,0,26,15
"net.sf.jabref.gui.cleanup.FieldFormatterCleanupsPanel",11,0,1,0,36,28
"net.sf.jabref.gui.cleanup.FieldFormatterCleanupsPanel.EnablementStatusListener",1,0,1,0,3,3
"net.sf.jabref.gui.date.DatePickerButton",6,0,2,0,15,5
"net.sf.jabref.gui.dbproperties.DatabasePropertiesDialog",18,0,1,0,62,23
"net.sf.jabref.gui.desktop.JabRefDesktop",46,0,2,0,48,41
"net.sf.jabref.gui.desktop.os.DefaultDesktop",2,0,5,0,7,5
"net.sf.jabref.gui.desktop.os.Linux",5,0,5,0,7,13
"net.sf.jabref.gui.desktop.os.NativeDesktop",n/a,n/a,n/a,n/a,5,n/a
"net.sf.jabref.gui.desktop.os.OSX",4,0,4,0,7,7
"net.sf.jabref.gui.desktop.os.Windows",4,0,4,0,7,8
"net.sf.jabref.gui.entryeditor.EntryEditor",76,0,2,0,180,117
"net.sf.jabref.gui.entryeditor.EntryEditor.AutoLinkAction",5,0,1,0,6,3
"net.sf.jabref.gui.entryeditor.EntryEditor.CloseAction",5,0,1,0,6,4
"net.sf.jabref.gui.entryeditor.EntryEditor.DeleteAction",8,0,1,0,13,3
"net.sf.jabref.gui.entryeditor.EntryEditor.FieldListener",1,0,2,0,3,3
"net.sf.jabref.gui.entryeditor.EntryEditor.GenerateKeyAction",14,0,1,0,22,7
"net.sf.jabref.gui.entryeditor.EntryEditor.NextEntryAction",7,0,1,0,9,4
"net.sf.jabref.gui.entryeditor.EntryEditor.PrevEntryAction",7,0,1,0,9,4
"net.sf.jabref.gui.entryeditor.EntryEditor.RedoAction",5,0,1,0,4,2
"net.sf.jabref.gui.entryeditor.EntryEditor.SaveDatabaseAction",5,0,1,0,6,4
"net.sf.jabref.gui.entryeditor.EntryEditor.StoreFieldAction",21,0,1,0,49,22
"net.sf.jabref.gui.entryeditor.EntryEditor.SwitchLeftAction",1,0,1,0,3,3
"net.sf.jabref.gui.entryeditor.EntryEditor.SwitchRightAction",1,0,1,0,3,3
"net.sf.jabref.gui.entryeditor.EntryEditor.TabListener",2,0,1,0,3,2
"net.sf.jabref.gui.entryeditor.EntryEditor.TypeButton",4,0,0,0,4,1
"net.sf.jabref.gui.entryeditor.EntryEditor.TypeLabel",3,0,1,0,3,7
"net.sf.jabref.gui.entryeditor.EntryEditor.UndoAction",5,0,1,0,4,2
"net.sf.jabref.gui.entryeditor.EntryEditorTab",23,0,2,0,67,49
"net.sf.jabref.gui.entryeditor.EntryEditorTabFocusListener",3,0,1,0,6,14
"net.sf.jabref.gui.entryeditor.EntryEditorTabList",5,0,1,0,7,8
"net.sf.jabref.gui.entryeditor.FieldExtraComponents",31,0,14,0,48,52
"net.sf.jabref.gui.exporter.AutoSaveManager",15,0,2,0,21,10
"net.sf.jabref.gui.exporter.AutoSaveManager.AutoSaveTask",4,0,1,0,6,3
"net.sf.jabref.gui.exporter.CustomExportDialog",9,0,4,0,19,11
"net.sf.jabref.gui.exporter.ExportAction",19,0,1,0,7,19
"net.sf.jabref.gui.exporter.ExportCustomizationDialog",17,0,0,0,24,9
