Lines of code metrics,Thu, 7 May 2020 15:52:30 CEST
Package,C(rec),Ca,Ce,CLOC(rec),COM_RAT(rec),Cyclic,I,LOC(rec),METH(rec),v(G)avg
"org.jabref.logic.util.strings",7,12,0,"1,003",71.24%,0,0.00,"1,408",16,2.88
"org.jabref.logic.xmp",4,13,8,242,19.56%,110,0.38,"1,237",48,3.46
"org.jabref.migrations",3,3,26,24,4.92%,110,0.90,488,20,3.60
"org.jabref.model",175,54,6,448,3.62%,110,0.09,"12,374","1,110",1.99
"org.jabref.model.bibtexkeypattern",3,20,2,6,3.85%,0,0.09,156,18,1.53
"org.jabref.model.cleanup",4,21,9,6,2.21%,110,0.30,272,27,2.05
"org.jabref.model.database",16,149,25,45,3.69%,110,0.14,"1,218",119,1.65
"org.jabref.model.database.event",6,24,8,4,3.70%,110,0.25,108,9,1.44
"org.jabref.model.entry",99,324,39,280,4.50%,110,0.11,"6,216",531,1.87
"org.jabref.model.entry.event",5,35,10,0,0.00%,110,0.22,147,16,1.31
"org.jabref.model.entry.identifier",7,27,11,55,10.38%,110,0.29,530,52,1.78
"org.jabref.model.entry.specialfields",2,12,3,1,0.79%,110,0.20,127,11,1.73
"org.jabref.model.groups",14,54,36,13,1.29%,110,0.40,"1,011",117,1.87
"org.jabref.model.groups.event",1,1,2,0,0.00%,110,0.67,15,2,1.00
"org.jabref.model.metadata",7,55,13,11,2.00%,110,0.20,551,77,1.59
"org.jabref.model.metadata.event",1,2,2,0,0.00%,110,0.50,18,2,1.00
"org.jabref.model.pdf",2,5,1,0,0.00%,0,0.17,223,21,1.81
"org.jabref.model.search",18,6,4,28,4.98%,110,0.40,562,57,1.20
"org.jabref.model.search.matchers",6,10,10,4,3.64%,110,0.59,110,9,1.89
"org.jabref.model.search.rules",10,22,15,24,6.14%,110,0.37,391,37,2.51
"org.jabref.model.strings",3,41,1,38,4.28%,0,0.02,888,40,4.05
"org.jabref.model.util",3,19,3,6,2.33%,110,0.14,257,21,2.05
"org.jabref.pdfimport",5,8,28,25,5.23%,110,0.84,478,23,2.82
"org.jabref.preferences",13,85,48,86,4.40%,110,0.37,"1,953",165,1.48
"org.jabref.shared",20,22,31,61,3.67%,110,0.58,"1,662",140,2.11
"org.jabref.shared.event",3,6,4,0,0.00%,110,0.40,65,8,1.00
"org.jabref.shared.exception",5,6,2,0,0.00%,110,0.25,63,8,1.00
"org.jabref.shared.listener",2,2,3,0,0.00%,110,0.60,36,4,1.25
