src.main.java.net.sf.jabref.logic.fulltext.ScienceDirect.java,,1,,,,,,,,
src.main.java.net.sf.jabref.logic.fulltext.SpringerLink.java,,1,,,,,,,,
src.main.java.net.sf.jabref.model.DuplicateCheck.java,,1,3,2,,,,,,
src.test.java.net.sf.jabref.model.entry.EntryUtilTest.java,,2,1,,,,,,,
src.main.java.net.sf.jabref.Globals.java,,1,8,1,1,,,,,
src.main.java.net.sf.jabref.collab.ChangeScanner.java,,1,7,8,1,,,,,
src.main.java.net.sf.jabref.exporter.SaveDatabaseAction.java,,2,,,,,,,,
src.main.java.net.sf.jabref.gui.fieldeditors.TextArea.java,,1,3,1,,,,,,
src.main.java.net.sf.jabref.gui.fieldeditors.TextField.java,,1,3,1,,,,,,
src.main.java.net.sf.jabref.gui.maintable.MainTable.java,,2,10,9,,,,,,
src.main.java.net.sf.jabref.gui.search.SearchBar.java,,2,4,1,,,,,,
src.main.java.net.sf.jabref.JabRefGUI.java,,3,12,10,1,,,,,
src.main.java.net.sf.jabref.external.WriteXMPAction.java,,1,7,,,,,,,
src.main.java.net.sf.jabref.gui.ContentSelectorDialog2.java,,3,5,2,,,,,,
src.main.java.net.sf.jabref.gui.EntryTypeDialog.java,,1,1,8,2,,,,,
src.main.java.net.sf.jabref.gui.FindUnlinkedFilesDialog.java,,1,8,5,1,,,,,
src.main.java.net.sf.jabref.gui.StringDialog.java,,3,6,3,1,,,,,
src.main.java.net.sf.jabref.gui.preftabs.AppearancePrefsTab.java,,1,3,1,1,,,,,
src.main.java.net.sf.jabref.gui.preftabs.ImportSettingsTab.java,,1,3,,2,,,,,
src.main.java.net.sf.jabref.importer.ImportCustomizationDialog.java,,1,,,,,,,,
src.main.java.net.sf.jabref.pdfimport.ImportDialog.java,,1,3,2,1,,,,,
src.main.java.net.sf.jabref.gui.groups.AddToGroupAction.java,,2,1,1,3,,,,,
src.main.java.net.sf.jabref.gui.groups.GroupsTree.java,,1,5,2,4,,,,,
src.main.java.net.sf.jabref.gui.groups.RemoveFromGroupAction.java,,2,1,1,3,,,,,
src.main.java.net.sf.jabref.gui.groups.WarnAssignmentSideEffects.java,,2,3,1,,,,,,
src.main.java.net.sf.jabref.sql.importer.DbImportAction.java,,2,,,,,,,,
