Chidamber-Kemerer metrics,Mon, 18 May 2020 19:36:03 CEST,,,,,,,,
Class,CBO,CSOA,DIT,LCOM,MPC,NOC,OCavg,OPavg,RFC,WMC
net.sf.jabref.exporter.SavePreferences.DatabaseSaveType,4,2,n/a,0,n/a,n/a,n/a,0,0,0
net.sf.jabref.exporter.SaveSession,18,23,0,4,31,0,2,0.64,18,22
net.sf.jabref.exporter.VerifyingWriter,8,7,0,1,12,0,2,0.75,4,8
net.sf.jabref.external.AttachFileAction,10,4,0,1,20,0,2,0.5,21,4
net.sf.jabref.external.AutoSetLinks,19,3,0,1,65,0,4.6,4.67,6,23
net.sf.jabref.external.ConfirmCloseFileListEntryEditor,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a
net.sf.jabref.external.DownloadExternalFile,19,14,0,1,117,0,5.14,1.43,37,36
net.sf.jabref.external.DownloadExternalFile.DownloadCallback,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a
net.sf.jabref.external.DroppedFileHandler,23,24,0,1,241,0,5.9,3.2,55,59
net.sf.jabref.external.ExternalFileMenuItem,12,11,0,1,41,0,2.5,3.75,13,10
net.sf.jabref.external.ExternalFileType,32,29,0,1,20,1,1.41,0.68,24,31
net.sf.jabref.external.ExternalFileTypeEditor,17,21,0,3,12,0,1.78,0.62,29,16
net.sf.jabref.external.ExternalFileTypeEditor.EditExternalFileTypesAction,5,9,1,1,12,0,2,1,10,6
net.sf.jabref.external.ExternalFileTypeEditor.EditListener,4,1,0,1,6,0,3,1,4,3
net.sf.jabref.external.ExternalFileTypeEditor.FileTypeTableModel,3,5,0,4,11,0,3.2,0.8,11,16
net.sf.jabref.external.ExternalFileTypeEditor.IconRenderer,1,2,0,1,2,0,1,6,1,1
net.sf.jabref.external.ExternalFileTypeEditor.TableClickListener,2,4,0,1,5,0,1.25,1,5,5
net.sf.jabref.external.ExternalFileTypeEntryEditor,10,24,0,1,13,0,2,1.12,30,24
net.sf.jabref.external.ExternalFileTypeEntryEditor.BrowseListener,4,3,0,1,13,0,2,1,5,4
net.sf.jabref.external.ExternalFileTypes,34,16,0,2,120,0,3.75,0.58,28,45
net.sf.jabref.external.FindFullTextAction,13,16,1,1,37,0,1.5,0.25,27,6
net.sf.jabref.external.MoveFileAction,13,8,0,1,95,0,13,2.5,25,26
net.sf.jabref.external.RegExpFileSearch,7,11,0,2,81,0,5.14,3.71,14,36
net.sf.jabref.external.SynchronizeFileField,24,20,1,1,72,0,7.75,0.25,47,31
net.sf.jabref.external.SynchronizeFileField.OptionsDialog,7,13,0,2,72,0,1.33,0.6,19,8
net.sf.jabref.external.TransferableFileLinkSelection,8,6,0,3,16,0,1.25,1,11,5
net.sf.jabref.external.UnknownExternalFileType,11,29,1,0,2,0,1,1,3,1
net.sf.jabref.external.WriteXMPAction,12,20,1,1,50,0,4.5,0.25,26,18
net.sf.jabref.external.WriteXMPAction.OptionsDialog,7,9,0,1,50,0,1,0.2,14,6
net.sf.jabref.external.WriteXMPEntryEditorAction,14,5,0,1,21,0,2.5,1.5,20,5
net.sf.jabref.external.WriteXMPEntryEditorAction.WriteXMPWorker,6,12,1,1,21,0,5,1,5,10
net.sf.jabref.external.push.AbstractPushToApplication,16,30,0,4,n/a,7,1.55,0.5,25,17
net.sf.jabref.external.push.PushToApplication,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,9,n/a
net.sf.jabref.external.push.PushToApplicationAction,8,8,0,1,34,0,3,1,18,12
net.sf.jabref.external.push.PushToApplicationButton,16,20,0,1,11,0,1.89,0.88,29,17
net.sf.jabref.external.push.PushToApplicationButton.BooleanHolder,1,2,0,0,0,0,1,1,1,1
net.sf.jabref.external.push.PushToApplicationButton.MenuAction,6,7,1,3,7,0,1,0.75,9,4
net.sf.jabref.external.push.PushToApplicationButton.PopupItemActionListener,1,3,0,1,2,0,1,1,3,2
net.sf.jabref.external.push.PushToApplicationButton.PushButtonMouseListener,2,4,0,1,11,0,2,1,5,8
net.sf.jabref.external.push.PushToApplications,10,2,0,1,7,0,1,0,1,1
net.sf.jabref.external.push.PushToEmacs,14,41,1,4,65,0,1.78,0.56,29,16
net.sf.jabref.external.push.PushToLatexEditor,6,34,1,5,2,0,1,0.2,7,5
net.sf.jabref.external.push.PushToLyx,12,36,1,4,27,0,2,0.83,15,12
net.sf.jabref.external.push.PushToTeXstudio,5,33,1,4,3,0,1,0.25,6,4
net.sf.jabref.external.push.PushToTexmaker,5,33,1,4,2,0,1,0.25,6,4
net.sf.jabref.external.push.PushToVim,12,39,1,3,44,0,1.62,0.62,26,13
net.sf.jabref.external.push.PushToWinEdt,5,33,1,4,3,0,1,0.25,6,4
net.sf.jabref.gui.BasePanel,253,123,0,2,41,0,2.87,0.45,310,278
net.sf.jabref.gui.BasePanel.AutoCompleteListener,5,2,0,1,4,0,1,1,4,2
net.sf.jabref.gui.BasePanel.GroupTreeListener,10,4,0,1,21,0,1.8,0.5,11,9
net.sf.jabref.gui.BasePanel.OpenURLAction,9,6,0,1,39,0,7,0,10,7
net.sf.jabref.gui.BasePanel.RedoAction,8,2,0,1,13,0,2,0,10,2
net.sf.jabref.gui.BasePanel.SaveSelectedAction,10,4,0,1,16,0,2,0.5,10,4
net.sf.jabref.gui.BasePanel.SearchAndOpenFile,11,4,0,1,37,0,5.5,1,16,11
net.sf.jabref.gui.BasePanel.SearchAutoCompleteListener,5,2,0,1,4,0,1,1,4,2
net.sf.jabref.gui.BasePanel.UndoAction,9,2,0,1,16,0,3,0,13,3
net.sf.jabref.gui.BasePanelMode,3,4,n/a,0,n/a,n/a,n/a,0,0,0
net.sf.jabref.gui.BibtexKeyPatternDialog,9,7,0,2,37,0,1.2,1,16,6
net.sf.jabref.gui.ClipBoardManager,14,6,0,2,29,0,2.25,0.75,18,9
net.sf.jabref.gui.ContentSelectorDialog2,12,40,0,1,15,0,4,0.78,29,40
net.sf.jabref.gui.ContentSelectorDialog2.FieldNameFocusAdapter,1,1,0,1,15,0,3,1,4,3
net.sf.jabref.gui.DragDropPane,2,4,0,0,12,1,4,0,2,12
net.sf.jabref.gui.DragDropPane.MarkerPane,4,5,0,1,12,0,1,0.67,7,3
net.sf.jabref.gui.DragDropPopupPane,2,7,1,1,8,0,1.33,1,2,4
net.sf.jabref.gui.DuplicateResolverDialog,13,12,0,1,68,0,2,2,17,12
net.sf.jabref.gui.DuplicateResolverDialog.DuplicateResolverResult,4,7,n/a,0,n/a,n/a,n/a,0,0,0
net.sf.jabref.gui.DuplicateResolverDialog.DuplicateResolverType,4,4,n/a,0,n/a,n/a,n/a,0,0,0
net.sf.jabref.gui.DuplicateSearch,16,5,0,1,4,0,6.33,0.5,17,19
net.sf.jabref.gui.DuplicateSearch.DuplicateCallBack,7,11,0,1,4,0,1,1,7,4
net.sf.jabref.gui.DuplicateSearch.SearcherRunnable,5,4,0,1,10,0,2,0,6,6
net.sf.jabref.gui.EntryContainer,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a
net.sf.jabref.gui.EntryCustomizationDialog,20,32,0,1,6,0,5.2,0.78,48,52
net.sf.jabref.gui.EntryCustomizationDialog.DataListener,2,4,0,1,6,0,1.25,0.75,5,5
net.sf.jabref.gui.EntryCustomizationDialog.DefaultListener,5,1,0,1,17,0,6,1,5,6
net.sf.jabref.gui.EntryMarker,16,9,0,1,76,0,5.6,2.4,16,28
