V5-0,Mon, 18 May 2020 19:09:08 CEST,,,,,,,,
Class,CBO,CSOA,DIT,LCOM,MPC,NOC,OCavg,OPavg,RFC,WMC
org.jabref.gui.util.ValueTableCellFactory,14,17,0,2,40,1,1.92,1,11,23
org.jabref.gui.util.ViewModelListCellFactory,22,30,0,2,50,0,1.79,1.11,20,34
org.jabref.gui.util.ViewModelTableRowFactory,5,25,0,6,73,0,2.25,1,17,36
org.jabref.gui.util.ViewModelTextFieldTableCellVisualizationFactory,1,6,0,1,7,0,1.75,1.67,3,7
org.jabref.gui.util.ViewModelTreeCellFactory,3,11,0,5,7,0,1.22,1,7,11
org.jabref.gui.util.ViewModelTreeTableCellFactory,4,11,0,2,19,0,1.75,1,7,14
org.jabref.gui.util.ZipFileChooser,3,7,1,1,45,0,1.5,1,3,3
org.jabref.gui.util.comparator.RankingFieldComparator,2,1,0,1,8,0,5,2,1,5
org.jabref.gui.util.comparator.ReadStatusFieldComparator,2,1,0,1,8,0,4,2,1,4
org.jabref.gui.util.component.DiffHighlightingTextPane,1,6,0,0,1,0,1,0,1,1
org.jabref.gui.util.component.Tag,1,10,0,1,13,0,1.14,0.86,7,8
org.jabref.gui.util.component.TagBar,4,17,0,1,43,0,1.64,0.64,15,18
org.jabref.gui.util.component.TemporalAccessorPicker,3,13,0,4,9,0,1.33,0.5,10,16
org.jabref.gui.util.component.TemporalAccessorPicker.InternalConverter,1,2,0,1,9,0,2,1,5,4
org.jabref.gui.util.uithreadaware.UiThreadChangeListener,2,5,0,1,4,0,1,1.25,5,4
org.jabref.gui.util.uithreadaware.UiThreadHelper,3,1,0,1,3,0,2,1,1,2
org.jabref.gui.util.uithreadaware.UiThreadInvalidationListener,3,5,0,1,4,0,1,0.75,5,4
org.jabref.gui.util.uithreadaware.UiThreadListChangeListener,2,5,0,1,4,0,1,0.75,5,4
org.jabref.gui.util.uithreadaware.UiThreadObservableList,3,35,0,1,33,0,1,0.97,36,34
org.jabref.gui.util.uithreadaware.UiThreadStringProperty,3,13,0,1,11,0,1,0.58,14,12
org.jabref.gui.worker.SendAsEMailAction,14,6,0,1,50,0,3.33,0.33,21,10
org.jabref.logic.TypedBibEntry,10,8,0,1,17,0,1.2,1.6,11,6
org.jabref.logic.autosaveandbackup.AutosaveManager,7,13,0,2,17,0,1,0.86,18,7
org.jabref.logic.autosaveandbackup.BackupManager,18,21,0,1,43,0,1.23,1.15,32,16
org.jabref.logic.auxparser.DefaultAuxParser,9,13,0,1,69,0,3,1.75,23,24
org.jabref.logic.bibtex.BibEntryWriter,17,13,0,1,77,0,1.91,2.55,26,21
org.jabref.logic.bibtex.DuplicateCheck,18,31,0,2,121,0,2.5,2.25,32,50
org.jabref.logic.bibtex.FieldContentFormatter,7,5,0,2,13,0,1.33,1.67,5,4
org.jabref.logic.bibtex.FieldContentFormatterPreferences,5,4,0,1,1,0,1,0.33,3,3
org.jabref.logic.bibtex.FieldWriter,13,17,0,2,39,0,2.91,1.91,20,32
org.jabref.logic.bibtex.FieldWriterPreferences,7,10,0,4,2,0,1,0.5,7,6
org.jabref.logic.bibtex.InvalidFieldValueException,4,1,0,0,1,0,1,1,1,1
org.jabref.logic.bibtex.comparator.BibDatabaseDiff,11,13,0,7,43,0,2.75,0.75,18,22
org.jabref.logic.bibtex.comparator.BibEntryDiff,3,5,0,2,0,0,1,0.67,3,3
org.jabref.logic.bibtex.comparator.BibStringDiff,4,6,0,3,44,0,2.75,1,8,11
org.jabref.logic.bibtex.comparator.BibtexStringComparator,3,3,0,1,10,0,3,1.5,4,6
org.jabref.logic.bibtex.comparator.CrossRefEntryComparator,3,1,0,1,2,0,3,2,2,3
org.jabref.logic.bibtex.comparator.EntryComparator,7,8,0,1,38,0,6.5,2.75,10,26
org.jabref.logic.bibtex.comparator.FieldComparator,16,12,0,2,54,0,3.57,1,17,25
org.jabref.logic.bibtex.comparator.FieldComparator.FieldType,1,5,n/a,0,n/a,n/a,n/a,0,0,0
org.jabref.logic.bibtex.comparator.FieldComparatorStack,4,3,0,1,1,0,2,1.5,2,4
org.jabref.logic.bibtex.comparator.GroupDiff,4,6,0,3,7,0,1.25,1,5,5
org.jabref.logic.bibtex.comparator.IdComparator,2,1,0,1,3,0,1,2,2,1
org.jabref.logic.bibtex.comparator.MetaDataDiff,6,8,0,3,64,0,3.6,1,21,18
org.jabref.logic.bibtex.comparator.PreambleDiff,4,6,0,3,9,0,1.25,1,6,5
org.jabref.logic.bibtexkeypattern.BibtexKeyGenerator,24,23,1,1,69,0,3,1.89,33,27
org.jabref.logic.bibtexkeypattern.BibtexKeyPatternPreferences,11,15,0,7,0,0,1,0.88,8,8
org.jabref.logic.bibtexkeypattern.BracketedPattern,18,47,0,1,548,1,5.07,1.57,63,213
org.jabref.logic.bst.BibtexCaseChanger,5,11,0,1,64,0,5.88,2.88,8,47
org.jabref.logic.bst.BibtexCaseChanger.FORMAT_MODE,2,7,n/a,1,n/a,n/a,1.67,0.67,4,5
org.jabref.logic.bst.BibtexNameFormatter,7,6,0,1,81,0,10.17,2.17,15,61
org.jabref.logic.bst.BibtexPurify,4,2,0,1,13,0,8.5,1,4,17
org.jabref.logic.bst.BibtexTextPrefix,3,2,0,1,6,0,6,1.5,3,12
org.jabref.logic.bst.BibtexWidth,3,6,0,1,13,0,6.75,1,5,27
org.jabref.logic.bst.ChangeCaseFunction,6,4,0,1,10,0,2.5,1,6,5
org.jabref.logic.bst.FormatNameFunction,7,4,0,1,12,0,3,1,8,6
org.jabref.logic.bst.PurifyFunction,5,4,0,1,7,0,2,1,6,4
org.jabref.logic.bst.TextPrefixFunction,5,4,0,1,10,0,2.5,1,6,5
org.jabref.logic.bst.VM,21,50,0,3,4,0,4.11,0.89,69,148
org.jabref.logic.bst.VM.BstEntry,10,7,0,2,0,0,1,0.33,3,3
org.jabref.logic.bst.VM.BstFunction,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a
org.jabref.logic.bst.VM.Identifier,2,3,0,1,0,0,1,0.5,2,2
org.jabref.logic.bst.VM.MacroFunction,3,4,0,1,1,0,1,1,3,2
org.jabref.logic.bst.VM.StackFunction,6,5,0,1,24,0,3.33,0.67,12,10
org.jabref.logic.bst.VM.Variable,0,3,0,1,0,0,1,0.5,2,2
org.jabref.logic.bst.VMException,8,1,0,0,1,0,1,1,1,1
org.jabref.logic.bst.Warn,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a
org.jabref.logic.bst.WidthFunction,5,4,0,1,7,0,2,1,6,4
org.jabref.logic.citationstyle.CSLAdapter,5,7,0,1,32,0,2,2.5,5,4
org.jabref.logic.citationstyle.CSLAdapter.JabRefItemDataProvider,9,5,0,2,32,0,1.5,0.75,11,6
org.jabref.logic.citationstyle.CitationStyle,6,21,0,4,64,0,1.57,0.71,15,22
org.jabref.logic.citationstyle.CitationStyleCache,6,6,0,1,4,0,1.5,1,11,6
org.jabref.logic.citationstyle.CitationStyleCache.BibDatabaseEntryListener,5,2,0,1,4,0,1.5,1,5,3
org.jabref.logic.citationstyle.CitationStyleGenerator,7,7,0,1,23,0,1,2,9,5
org.jabref.logic.citationstyle.CitationStyleOutputFormat,6,11,n/a,2,n/a,n/a,1,0.5,4,4
org.jabref.logic.citationstyle.CitationStylePreviewLayout,10,8,0,1,5,0,1,0.6,9,5
org.jabref.logic.citationstyle.JabRefLocaleProvider,1,3,0,1,4,0,2,1,1,2
org.jabref.logic.citationstyle.PreviewLayout,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2,n/a
org.jabref.logic.citationstyle.TextBasedPreviewLayout,11,12,0,2,8,0,1.17,1,11,7
org.jabref.logic.cleanup.CleanupPreferences,4,5,0,2,0,0,1,0.67,3,3
org.jabref.logic.cleanup.CleanupPreset,7,10,0,2,10,0,1,0.75,9,8
org.jabref.logic.cleanup.CleanupPreset.CleanupStep,4,11,n/a,0,n/a,n/a,n/a,0,0,0
org.jabref.logic.cleanup.CleanupWorker,20,6,0,1,15,0,4.75,1.5,14,19
org.jabref.logic.cleanup.Cleanups,21,8,0,1,35,0,2.6,0.6,12,13
org.jabref.logic.cleanup.ConvertToBiblatexCleanup,8,2,0,1,22,0,4,1,6,4
org.jabref.logic.cleanup.ConvertToBibtexCleanup,8,2,0,1,31,0,6,1,6,6
org.jabref.logic.cleanup.DoiCleanup,12,4,0,1,25,0,4,2,10,8
org.jabref.logic.cleanup.EprintCleanup,7,2,0,1,20,0,4,1,4,4
org.jabref.logic.cleanup.FileLinksCleanup,7,2,0,1,11,0,3,1,6,3
org.jabref.logic.cleanup.ISSNCleanup,6,2,0,1,10,0,3,1,7,3
org.jabref.logic.cleanup.MoveFieldCleanup,8,5,0,1,5,0,1,1.5,6,2
org.jabref.logic.cleanup.MoveFilesCleanup,10,6,0,1,10,0,2.5,1.5,8,5
org.jabref.logic.cleanup.RelativePathsCleanup,8,5,0,1,19,0,3.5,1.5,11,7
org.jabref.logic.cleanup.RenamePdfCleanup,10,7,0,1,12,0,3,2,8,6
org.jabref.logic.cleanup.UpgradePdfPsToFileCleanup,8,4,0,1,23,0,2.5,0.5,8,5
org.jabref.logic.exporter.AtomicFileOutputStream,2,19,0,3,40,0,1.64,0.82,12,18
org.jabref.logic.exporter.AtomicFileWriter,6,7,0,1,11,0,1.6,1.2,6,8
org.jabref.logic.exporter.BibDatabaseWriter,33,27,0,2,n/a,1,2.64,1.77,57,37
org.jabref.logic.exporter.BibTeXMLExporter,27,19,1,1,113,0,6.17,2.17,15,37
org.jabref.logic.exporter.BibtexDatabaseWriter,19,34,1,1,54,0,1.78,1.67,24,16
org.jabref.logic.exporter.Exporter,17,9,0,4,n/a,8,1,1.17,6,5
org.jabref.logic.exporter.ExporterFactory,23,7,0,2,46,0,1.6,1.8,16,8
org.jabref.logic.exporter.GroupSerializer,17,11,0,1,147,0,1.73,1.09,35,19
org.jabref.logic.exporter.MSBibExporter,8,11,1,1,10,0,1.5,2,7,3
org.jabref.logic.exporter.MetaDataSerializer,13,5,0,1,92,0,3.4,1.2,26,17
org.jabref.logic.exporter.ModsExporter,39,35,1,1,210,0,3.1,2.29,58,65
org.jabref.logic.exporter.OOCalcDatabase,13,6,0,1,177,0,1.5,1.75,14,6
org.jabref.logic.exporter.OpenDocumentRepresentation,13,7,0,1,180,0,1.5,1.75,14,6
org.jabref.logic.exporter.OpenDocumentSpreadsheetCreator,8,17,1,1,45,0,1.86,2.43,12,13
org.jabref.logic.exporter.OpenOfficeDocumentCreator,7,17,1,1,33,0,1.71,2.43,11,12
org.jabref.logic.exporter.SaveException,6,17,0,3,14,0,1.08,1.33,13,13
org.jabref.logic.exporter.SavePreferences,19,30,0,1,1,0,1.06,0.89,18,19
org.jabref.logic.exporter.SavePreferences.DatabaseSaveType,4,2,n/a,0,n/a,n/a,n/a,0,0,0
org.jabref.logic.exporter.TemplateExporter,21,34,1,1,72,0,2.82,2.82,26,31
org.jabref.logic.exporter.XmpExporter,7,14,1,1,23,0,2.33,2.67,7,7
org.jabref.logic.exporter.XmpPdfExporter,8,12,1,1,9,0,1.5,2.5,6,3
org.jabref.logic.externalfiles.ExternalFilesContentImporter,10,5,0,1,11,0,1,1.25,13,4
org.jabref.logic.externalfiles.LinkedFileHandler,9,13,0,1,75,0,1.75,1.25,22,14
org.jabref.logic.formatter.Formatters,29,6,0,1,25,0,2,0.17,8,12
org.jabref.logic.formatter.IdentityFormatter,3,12,1,5,3,0,1,0.2,6,5
org.jabref.logic.formatter.bibtexfields.AddBracesFormatter,2,12,1,5,7,0,1.2,0.2,6,6
org.jabref.logic.formatter.bibtexfields.CleanupUrlFormatter,5,14,1,5,8,0,1.2,0.2,7,6
org.jabref.logic.formatter.bibtexfields.ClearFormatter,11,12,1,5,3,0,1,0.2,6,5
org.jabref.logic.formatter.bibtexfields.EscapeAmpersandsFormatter,3,12,1,5,21,0,3.4,0.2,6,17
org.jabref.logic.formatter.bibtexfields.EscapeUnderscoresFormatter,3,13,1,5,6,0,1,0.2,6,5
org.jabref.logic.formatter.bibtexfields.HtmlToLatexFormatter,7,20,1,5,79,0,3.17,0.5,7,19
org.jabref.logic.formatter.bibtexfields.HtmlToUnicodeFormatter,6,13,1,5,4,1,1,0.2,7,5
org.jabref.logic.formatter.bibtexfields.LatexCleanupFormatter,3,18,1,5,25,0,1,0.2,6,5
org.jabref.logic.formatter.bibtexfields.NormalizeDateFormatter,5,12,1,5,5,0,1,0.2,7,5
org.jabref.logic.formatter.bibtexfields.NormalizeEnDashesFormatter,2,12,1,5,3,0,1,0.2,6,5
org.jabref.logic.formatter.bibtexfields.NormalizeMonthFormatter,6,12,1,5,6,0,1,0.2,7,5
org.jabref.logic.formatter.bibtexfields.NormalizeNamesFormatter,8,12,1,5,5,0,1,0.2,8,5
org.jabref.logic.formatter.bibtexfields.NormalizeNewlinesFormatter,4,12,1,5,6,0,1.2,0.2,6,6
org.jabref.logic.formatter.bibtexfields.NormalizePagesFormatter,6,16,1,5,15,0,1.6,0.2,7,8
org.jabref.logic.formatter.bibtexfields.OrdinalsToSuperscriptFormatter,4,14,1,5,7,0,1.2,0.2,6,6
org.jabref.logic.formatter.bibtexfields.RegexFormatter,3,27,1,5,28,0,1.43,0.43,8,10
org.jabref.logic.formatter.bibtexfields.RemoveBracesFormatter,7,13,1,5,12,0,2,0.33,7,12
org.jabref.logic.formatter.bibtexfields.RemoveHyphenatedNewlinesFormatter,3,13,1,5,7,0,1,0.2,6,5
org.jabref.logic.formatter.bibtexfields.RemoveNewlinesFormatter,5,13,1,5,7,0,1,0.2,6,5
org.jabref.logic.formatter.bibtexfields.ShortenDOIFormatter,6,13,1,5,11,0,1,0.2,9,5
org.jabref.logic.formatter.bibtexfields.TrimWhitespaceFormatter,4,12,1,5,4,0,1,0.2,6,5
org.jabref.logic.formatter.bibtexfields.UnicodeToLatexFormatter,7,14,1,5,27,0,2.6,0.2,6,13
org.jabref.logic.formatter.bibtexfields.UnitsToLatexFormatter,4,16,1,5,15,0,1.67,0.17,7,10
org.jabref.logic.formatter.casechanger.CapitalizeFormatter,5,12,1,5,6,0,1,0.2,9,5
org.jabref.logic.formatter.casechanger.LowerCaseFormatter,6,12,1,5,6,0,1,0.2,9,5
org.jabref.logic.formatter.casechanger.ProtectTermsFormatter,7,15,1,5,8,0,1.29,0.57,9,9
org.jabref.logic.formatter.casechanger.SentenceCaseFormatter,6,12,1,5,8,0,1,0.2,10,5
org.jabref.logic.formatter.casechanger.Title,7,6,0,1,21,0,1.4,0.2,6,7
org.jabref.logic.formatter.casechanger.TitleCaseFormatter,7,12,1,5,23,0,1.4,0.2,11,7
org.jabref.logic.formatter.casechanger.TitleParser,3,6,0,1,19,0,2.75,0.75,5,11
org.jabref.logic.formatter.casechanger.UpperCaseFormatter,5,12,1,5,6,0,1,0.2,9,5
org.jabref.logic.formatter.casechanger.Word,9,11,0,3,20,0,2,0.25,8,16
org.jabref.logic.formatter.minifier.MinifyNameListFormatter,4,13,1,5,9,0,1.83,0.33,7,11
org.jabref.logic.groups.DefaultGroupsFactory,7,3,0,1,2,0,1,0,5,2
org.jabref.logic.help.HelpFile,34,40,n/a,1,n/a,n/a,1,0.5,2,2
org.jabref.logic.importer.EntryBasedFetcher,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a
org.jabref.logic.importer.EntryBasedParserFetcher,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,6,n/a
org.jabref.logic.importer.FetcherException,44,10,1,0,3,0,1,2,6,3
org.jabref.logic.importer.FetcherResult,2,5,0,2,0,0,1,0.67,3,3
org.jabref.logic.importer.FulltextFetcher,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2,n/a
org.jabref.logic.importer.FulltextFetchers,14,11,0,1,49,0,1.14,1.29,20,8
org.jabref.logic.importer.IdBasedFetcher,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a
org.jabref.logic.importer.IdBasedParserFetcher,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,10,n/a
org.jabref.logic.importer.IdFetcher,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2,n/a
org.jabref.logic.importer.IdParserFetcher,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,7,n/a
org.jabref.logic.importer.ImportException,4,10,1,0,3,0,1,1.33,4,3
org.jabref.logic.importer.ImportFormatPreferences,46,16,0,2,0,0,1,0.89,9,9
org.jabref.logic.importer.ImportFormatReader,41,11,0,1,28,0,2.25,1.38,35,18
org.jabref.logic.importer.ImportFormatReader.CheckedFunction,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a
org.jabref.logic.importer.ImportFormatReader.UnknownFormatImport,5,3,0,0,0,0,1,2,1,1
org.jabref.logic.importer.Importer,29,17,0,4,n/a,20,1.42,0.82,24,17
org.jabref.logic.importer.OpenDatabase,19,5,0,1,27,0,2,1.75,17,8
org.jabref.logic.importer.OutputPrinter,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,3,n/a
org.jabref.logic.importer.ParseException,24,3,0,0,3,0,1,1.33,3,3
org.jabref.logic.importer.Parser,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2,n/a
org.jabref.logic.importer.ParserResult,56,39,0,7,37,0,1.1,0.53,37,33
org.jabref.logic.importer.SearchBasedFetcher,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a
org.jabref.logic.importer.SearchBasedParserFetcher,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,9,n/a
org.jabref.logic.importer.WebFetcher,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2,n/a
org.jabref.logic.importer.WebFetchers,46,9,0,7,51,0,1.56,1,27,14
org.jabref.logic.importer.fetcher.ACMPortalFetcher,7,15,0,4,10,0,1,0.5,10,6
org.jabref.logic.importer.fetcher.ACS,6,6,0,2,17,0,2,0.5,8,4
org.jabref.logic.importer.fetcher.AbstractIsbnFetcher,11,12,0,3,n/a,2,1.25,0.5,9,5
org.jabref.logic.importer.fetcher.ArXiv,18,29,0,5,65,0,1.88,1.12,33,30
org.jabref.logic.importer.fetcher.ArXiv.ArXivEntry,7,18,0,3,65,0,1.75,0.5,17,14
org.jabref.logic.importer.fetcher.AstrophysicsDataSystem,22,36,0,2,105,0,1.6,0.73,35,24
org.jabref.logic.importer.fetcher.BibsonomyScraper,6,5,0,1,15,0,1,1,5,2
org.jabref.logic.importer.fetcher.CiteSeer,14,13,0,5,23,0,1.14,0.33,12,8
org.jabref.logic.importer.fetcher.CrossRef,21,37,0,3,93,0,1.91,0.82,31,21
org.jabref.logic.importer.fetcher.DBLPFetcher,17,15,0,5,15,0,1,0.5,15,6
org.jabref.logic.importer.fetcher.DOAJFetcher,12,18,0,4,101,0,4.5,1,18,36
org.jabref.logic.importer.fetcher.DiVA,8,14,0,5,6,0,1,0.5,10,6
org.jabref.logic.importer.fetcher.DoiFetcher,24,12,0,4,19,0,1.33,0.67,18,8
org.jabref.logic.importer.fetcher.DoiResolution,7,5,0,2,41,0,4.5,0.5,18,9
org.jabref.logic.importer.fetcher.GoogleScholar,15,21,0,3,62,0,2,0.7,33,20
org.jabref.logic.importer.fetcher.GrobidCitationFetcher,10,12,0,2,20,0,1,0.8,8,5
org.jabref.logic.importer.fetcher.GvkFetcher,6,15,0,4,22,0,1.67,0.5,9,10
org.jabref.logic.importer.fetcher.IEEE,15,25,0,5,119,0,3.12,0.62,21,25
org.jabref.logic.importer.fetcher.INSPIREFetcher,15,15,0,5,16,0,1.17,0.5,17,7
org.jabref.logic.importer.fetcher.IacrEprintFetcher,12,29,0,2,74,0,2,1.25,21,24
org.jabref.logic.importer.fetcher.IsbnFetcher,13,11,0,3,14,0,1.6,0.6,12,8
org.jabref.logic.importer.fetcher.IsbnViaEbookDeFetcher,9,17,1,3,11,0,1,0.75,13,4
org.jabref.logic.importer.fetcher.IsbnViaOttoBibFetcher,10,17,1,3,12,0,1.25,0.75,15,5
org.jabref.logic.importer.fetcher.LibraryOfCongress,6,12,0,3,2,0,1,0.5,7,4
org.jabref.logic.importer.fetcher.MathSciNet,17,25,0,4,47,0,1.29,0.71,21,9
org.jabref.logic.importer.fetcher.MedlineFetcher,17,23,0,5,67,0,2.3,0.7,23,23
org.jabref.logic.importer.fetcher.MrDLibFetcher,13,20,0,2,45,0,1.71,0.71,32,12
org.jabref.logic.importer.fetcher.OpenAccessDoi,6,7,0,3,28,0,1.33,0.67,5,4
org.jabref.logic.importer.fetcher.RfcFetcher,8,13,0,4,5,0,1.2,0.4,8,6
org.jabref.logic.importer.fetcher.ScienceDirect,7,8,0,2,44,0,3.33,0.67,15,10
org.jabref.logic.importer.fetcher.SpringerFetcher,12,15,0,4,75,0,4.4,0.4,16,22
org.jabref.logic.importer.fetcher.SpringerLink,6,8,0,2,25,0,2.5,0.5,3,5
org.jabref.logic.importer.fetcher.TitleFetcher,10,8,0,3,9,0,1.25,0.5,10,5
org.jabref.logic.importer.fetcher.TrustLevel,11,8,n/a,1,n/a,n/a,1,0.5,2,2
org.jabref.logic.importer.fetcher.ZbMATH,14,13,0,4,11,0,1,0.6,15,5
org.jabref.logic.importer.fileformat.BibTeXMLImporter,14,29,1,5,132,0,4.08,1.33,37,49
org.jabref.logic.importer.fileformat.BiblioscapeImporter,9,19,1,5,208,0,14.6,0.4,8,73
org.jabref.logic.importer.fileformat.BibtexImporter,9,25,1,6,28,0,1.88,0.88,13,15
org.jabref.logic.importer.fileformat.BibtexParser,42,58,0,4,318,0,3.3,0.61,84,145
org.jabref.logic.importer.fileformat.CoinsParser,8,13,0,1,37,0,3.5,2.5,5,7
org.jabref.logic.importer.fileformat.CopacImporter,10,22,1,6,77,0,4.14,0.86,13,29
org.jabref.logic.importer.fileformat.CustomImporter,8,31,1,3,19,0,1.14,0.5,20,16
org.jabref.logic.importer.fileformat.EndnoteImporter,14,26,1,6,113,0,7.62,0.5,15,61
org.jabref.logic.importer.fileformat.EndnoteXmlImporter,16,38,1,7,171,0,1.68,0.74,31,32
org.jabref.logic.importer.fileformat.GvkParser,8,10,0,1,152,0,12.71,1.43,11,89
org.jabref.logic.importer.fileformat.InspecImporter,11,20,1,5,58,0,5,0.4,9,25
org.jabref.logic.importer.fileformat.IsiImporter,14,31,1,7,175,0,6,0.69,20,78
org.jabref.logic.importer.fileformat.MedlineImporter,69,55,1,6,395,0,4.37,1.63,162,153
org.jabref.logic.importer.fileformat.MedlinePlainImporter,14,35,1,6,216,0,5.12,1.62,20,82
org.jabref.logic.importer.fileformat.ModsImporter,44,45,1,5,271,0,3.2,2,56,80
org.jabref.logic.importer.fileformat.MrDLibImporter,8,32,1,4,40,0,1.69,0.54,19,22
org.jabref.logic.importer.fileformat.MrDLibImporter.RankedBibEntry,2,3,0,0,0,0,1,2,1,1
org.jabref.logic.importer.fileformat.MsBibImporter,5,23,1,5,17,0,1,0.5,8,9
org.jabref.logic.importer.fileformat.OvidImporter,14,28,1,5,155,0,7,0.5,11,42
org.jabref.logic.importer.fileformat.PdfContentImporter,20,37,1,7,197,0,5.24,0.71,31,89
org.jabref.logic.importer.fileformat.PdfXmpImporter,9,25,1,8,9,0,1,0.8,14,10
org.jabref.logic.importer.fileformat.RepecNepImporter,10,36,1,6,127,0,3,1,22,45
org.jabref.logic.importer.fileformat.RisImporter,15,22,1,5,197,0,12.83,0.67,11,77
org.jabref.logic.importer.fileformat.SilverPlatterImporter,11,20,1,5,103,0,7,0.4,10,35
org.jabref.logic.importer.util.GrobidService,4,3,0,1,5,0,1.5,1.5,6,3
org.jabref.logic.importer.util.GrobidService.ConsolidateCitations,2,6,n/a,1,n/a,n/a,1,0.5,2,2
org.jabref.logic.importer.util.GroupsParser,25,14,0,1,142,0,2.77,1.92,42,36
org.jabref.logic.importer.util.INSPIREBibtexFilterReader,0,9,0,1,13,0,3.5,0.5,4,14
org.jabref.logic.importer.util.IdentifierParser,9,2,0,1,9,0,3.5,1.5,3,7
org.jabref.logic.importer.util.JsonReader,3,2,0,1,6,0,2,1,3,4
org.jabref.logic.importer.util.MediaTypes,2,1,0,0,0,0,n/a,0,0,0
org.jabref.logic.importer.util.MetaDataParser,14,8,0,1,78,0,4.67,1.5,28,28
org.jabref.logic.importer.util.ShortDOIService,5,3,0,1,10,0,1,1,11,2
org.jabref.logic.importer.util.ShortDOIServiceException,3,12,1,0,5,0,1,1.8,10,5
org.jabref.logic.integrity.ASCIICharacterChecker,6,2,0,1,8,0,3,1,6,3
org.jabref.logic.integrity.AbbreviationChecker,5,4,0,1,6,0,2,1,5,4
org.jabref.logic.integrity.BibStringChecker,7,3,0,1,12,0,5,1,4,5
org.jabref.logic.integrity.BibTeXEntryTypeChecker,8,2,0,1,7,0,2,1,6,2
org.jabref.logic.integrity.BibtexKeyChecker,8,2,0,1,13,0,3,1,7,3
org.jabref.logic.integrity.BibtexKeyDuplicationChecker,8,4,0,1,6,0,1.5,1,6,3
org.jabref.logic.integrity.BibtexkeyDeviationChecker,9,5,0,1,11,0,2,1.5,7,4
org.jabref.logic.integrity.BooktitleChecker,4,2,0,1,7,0,3,1,3,3
org.jabref.logic.integrity.BracesCorrector,0,2,0,1,9,0,4,1,1,4
org.jabref.logic.integrity.BracketChecker,4,2,0,1,9,0,7,1,3,7
org.jabref.logic.integrity.DOIValidityChecker,5,2,0,1,6,0,3,1,4,3
org.jabref.logic.integrity.DateChecker,5,2,0,1,7,0,3,1,4,3
org.jabref.logic.integrity.EditionChecker,5,9,0,1,29,0,4.5,1.5,5,9
org.jabref.logic.integrity.EntryLinkChecker,8,4,0,1,21,0,4,1,6,8
org.jabref.logic.integrity.FieldChecker,8,5,0,1,8,0,1.5,1.5,5,3
org.jabref.logic.integrity.FieldCheckers,60,5,0,2,38,0,2,2.75,23,8
org.jabref.logic.integrity.FileChecker,8,5,0,1,15,0,2.5,1.5,6,5
org.jabref.logic.integrity.HTMLCharacterChecker,7,3,0,1,12,0,4,1,4,4
org.jabref.logic.integrity.HowPublishedChecker,5,5,0,1,11,0,2,1,5,4
org.jabref.logic.integrity.ISBNChecker,5,2,0,1,9,0,4,1,6,4
org.jabref.logic.integrity.ISSNChecker,5,2,0,1,10,0,4,1,6,4
org.jabref.logic.integrity.IntegrityCheck,22,9,0,1,38,0,2.33,2.33,24,7
org.jabref.logic.integrity.IntegrityCheck.Checker,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a
org.jabref.logic.integrity.IntegrityMessage,19,11,0,3,11,0,1.25,0.5,10,10
org.jabref.logic.integrity.JournalInAbbreviationListChecker,7,5,0,1,10,0,2,1.5,6,4
org.jabref.logic.integrity.MonthChecker,5,6,0,1,20,0,2.5,1,5,5
org.jabref.logic.integrity.NoBibtexFieldChecker,10,3,0,1,31,0,1,0.5,5,2
org.jabref.logic.integrity.NoteChecker,5,5,0,1,11,0,2,1,5,4
org.jabref.logic.integrity.PagesChecker,5,6,0,1,12,0,2.5,1,5,5
org.jabref.logic.integrity.PersonNamesChecker,8,4,0,1,23,0,3,1,10,6
org.jabref.logic.integrity.TitleChecker,5,6,0,1,17,0,4,1,5,8
org.jabref.logic.integrity.TypeChecker,7,2,0,1,8,0,3,1,5,3
org.jabref.logic.integrity.UrlChecker,4,2,0,1,6,0,3,1,3,3
org.jabref.logic.integrity.ValidBibtexKeyChecker,5,4,0,1,8,0,2,1,5,4
org.jabref.logic.integrity.ValueChecker,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a
org.jabref.logic.integrity.YearChecker,4,5,0,1,15,0,4,1,3,4
org.jabref.logic.journals.Abbreviation,11,20,0,1,51,0,1.41,0.65,17,24
