V5-0,Mon, 18 May 2020 19:09:08 CEST,,,,,,,,
Class,CBO,CSOA,DIT,LCOM,MPC,NOC,OCavg,OPavg,RFC,WMC
org.jabref.gui.customentrytypes.FieldViewModel,6,15,0,5,6,0,1.1,0.9,11,11
org.jabref.gui.customizefields.CustomizeGeneralFieldsDialogView,9,17,1,1,24,0,1,0,13,5
org.jabref.gui.customizefields.CustomizeGeneralFieldsDialogViewModel,9,8,0,1,41,0,2,0.4,15,10
org.jabref.gui.customizefields.SetupGeneralFieldsAction,4,7,1,1,1,0,1,0,3,1
org.jabref.gui.customjfx.CustomJFXPanel,3,1,0,1,4,0,1,1,3,1
org.jabref.gui.desktop.JabRefDesktop,42,15,0,4,123,0,2.92,1.42,33,35
org.jabref.gui.desktop.os.DefaultDesktop,2,16,0,7,12,0,1,1.43,8,7
org.jabref.gui.desktop.os.Linux,8,16,0,5,60,0,2.43,1.43,12,17
org.jabref.gui.desktop.os.NativeDesktop,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,8,n/a
org.jabref.gui.desktop.os.OSX,4,15,0,6,21,0,1.29,1.43,9,9
org.jabref.gui.desktop.os.Windows,6,16,0,5,39,0,1.86,1.43,12,13
org.jabref.gui.dialogs.AutosaveUIManager,6,4,0,1,3,0,1,1,4,2
org.jabref.gui.dialogs.BackupUIManager,6,2,0,1,17,0,1.5,1,5,3
org.jabref.gui.documentviewer.DocumentPageViewModel,5,3,0,3,n/a,1,n/a,0.67,3,0
org.jabref.gui.documentviewer.DocumentViewModel,4,4,0,2,n/a,1,1,0,3,2
org.jabref.gui.documentviewer.DocumentViewerControl,6,18,0,1,44,0,1.5,0.58,18,18
org.jabref.gui.documentviewer.DocumentViewerControl.DocumentViewerPage,4,13,0,2,44,0,1,0.33,14,9
org.jabref.gui.documentviewer.DocumentViewerView,10,28,1,1,65,0,1.08,0.46,34,14
org.jabref.gui.documentviewer.DocumentViewerViewModel,9,21,1,5,38,0,1.29,0.36,20,18
org.jabref.gui.documentviewer.PageDimension,4,6,0,4,n/a,2,1,1,8,4
org.jabref.gui.documentviewer.PageDimension.FixedHeightPageDimension,1,6,1,1,0,0,1,1,3,3
org.jabref.gui.documentviewer.PageDimension.FixedWidthPageDimension,1,6,1,1,0,0,1,1,3,3
org.jabref.gui.documentviewer.PdfDocumentPageViewModel,2,11,1,2,11,0,1,1.6,8,5
org.jabref.gui.documentviewer.PdfDocumentViewModel,4,7,1,1,10,0,1.5,0.5,7,3
org.jabref.gui.documentviewer.ShowDocumentViewerAction,3,7,1,1,1,0,1,0,2,1
org.jabref.gui.duplicationFinder.DuplicateResolverDialog,12,10,1,1,42,0,4.33,2.33,9,13
org.jabref.gui.duplicationFinder.DuplicateResolverDialog.DuplicateResolverResult,4,6,n/a,0,n/a,n/a,n/a,0,0,0
